Q,A,Label,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13
갱년기 생리불순을 완화하는 방법에는 어떤 것이 있나요?,갱년기 생리불순은 호르몬의 변화로 인해 생기는 것이기 때문에 호르몬 치료가 효과적일 수 있습니다.그러나 호르몬 치료는 부작용이 있을 수 있으므로 의사와 상담한 후 결정하는 것이 좋습니다.,생리불순,,,,,,,,,,
호르몬 치료 시 나타나는 부작용에는 어떤것이 있나요?,"호르몬 치료의 부작용으로는 유방암, 자궁암, 혈전증, 뇌졸중, 심장병, 치매 등이 있습니다.그러나, 이러한 부작용은 드물게 발생하며, 호르몬 치료를 받는 여성들이 삶의 질을 높일 수 있습니다.호르몬 치료를 받기 전에 의사와 상담하고, 부작용에 대해 충분히 알아두는 것이 좋습니다.",생리불순,,,,,,,,,,
"그럼, 호르몬 치료를 한다면 언제까지 해야 하나요?","갱년기 생리불순 호르몬 치료는 환자의 증상에 따라 6-12개월 복용하다가 서서히 중단합니다.다시 증상이 생기면 추가로 6개월 치료를 하게되며 최대 5년간 치료하게 됩니다.하지만, 호르몬 치료는 폐경 후 5년 이상 지속되면 유방암, 자궁암, 혈전증 등의 위험이 증가할 수 있으므로, 5년 이상 지속되는 경우에는 주기적인 검사가 필요합니다.",생리불순,,,,,,,,,,
호르몬 치료를 하는 비율은 어떻게 되나요?,"한국 갱년기 여성의 폐경 증상 완화를 위해 호르몬 치료를 받는 비율은 29.2%입니다.
대한폐경학회는 호르몬 치료를 폐경 여성 관리의 핵심이라 말합니다.하지만 호르몬 치료에 긍정적으로 인식하는 사람은 29.9%에 불과하며, 호르몬 치료가 폐경 증상 완화에 도움이 된다고 생각하는 사람도 29.2%입니다.
갱년기 여성의 호르몬 치료는 갱년기 증상을 완화하고, 골밀도 감소, 심혈관계 질환, 대사증후군 등의 합병증 예방에 효과적입니다.그러나 호르몬 치료는 부작용도 있을 수 있으므로, 의사와 상담하고 적절한 처방을 받는 것이 좋습니다.",생리불순,,,,,,,,,,
호르몬 치료는 실비보험이 적용되나요?,"갱년기 여성의 호르몬 치료는 보험사와 보험 상품에 따라 다르며, 실비보험 적용 여부도 보험사와 보험 상품에 따라 다르므로, 자세한 내용은 보험사나 보험 대리점에 문의하시는 것이 좋습니다. 
그러나, 갱년기 여성의 호르몬 치료는 보험 적용 여부와 상관없이 본인 부담금이 발생할 수 있습니다.",생리불순,,,,,,,,,,
호르몬 치료를 진료하는 과는 어디인가요?,"갱년기 여성의 호르몬 치료는 산부인과, 내과, 가정의학과 등에서 진행할 수 있습니다.
파티마여성병원에서는 갱년기 여성의 호르몬 치료를 진행하고 있으며, 급격히 감소된 여성 호르몬을 최소량으로 투여함으로써 갱년기 증상이 호전되어 삶의 질을 향상시키고, 골다공증의 예방 및 치료를 위한 최상의 약재이기도 합니다. ",생리불순,,,,,,,,,,
갱년기 생리불순을 완화하는 대체 요법을 알려주세요.,"갱년기 생리불순을 완화하는 대체 요법으로는 식이요법, 천연제품, 체외충격파요법, 침술, 요가, 마사지, 심리치료 등이 있습니다.그러나, 대체 요법은 효과가 확실하지 않으며, 부작용이 발생할 수 있으므로, 의사와 상담하고, 충분한 정보를 수집한 후 결정하는 것이 좋습니다.",생리불순,,,,,,,,,,
식이 요법은 무엇인가요?,"갱년기 생리불순을 완화하는 식이요법으로는 다음과 같은 것들이 있습니다.
1) 비타민D 함유 식품 (난황, 버섯, 간 등)을 섭취합니다.
2) 어패류, 작은 생선, 콩 종류, 우유 등을 매일 1회 이상 섭취합니다.
3) 채소류를 하루 300g 이상 섭취합니다.
4) 과일은 다량 섭취하여도 무방합니다.
5) 동물성 지방의 섭취를 최소화합니다.",생리불순,,,,,,,,,,
갱년기 생리불순을 완화하는 천연제품에 대해 알려드릴까요?,"갱년기 생리불순을 완화하는 천연제품으로는 회화나무 열매, 달맞이꽃종자유, 보라지유, 감마리놀렌산 등이 있습니다. 하지만, 이러한 천연제품을 복용하기 전에는 꼭 전문의와 상담하시는 것이 좋습니다.",생리불순,,,,,,,,,,
생리불순을 완화하는 다른 방법은 무엇이 있나요?,"갱년기 생리불순을 완화하는 방법으로는 건강한 생활 습관과 스트레스 관리가 중요합니다. 하루 세끼를 골고루 챙겨 먹고 하루 7시간 이상 숙면하는 것이 좋습니다.규칙적인 운동도 생리 불순 예방에 도움이 됩니다. 또한, 갱년기 때 겪는 우울증·심혈관질환 위험을 낮춰주는 오메가3 지방산이 포함된 식품을 섭취하는 것도 좋습니다. 일주일에 2회 이상 먹는 게 좋습니다.피칸·아몬드 등 견과류로도 오메가3 지방산을 섭취할 수 있습니다.",생리불순,,,,,,,,,,
오메가3 지방산이 포함된 식품은 무엇인가요?,"갱년기 생리불순 완화 방법 중에서 오메가3 지방산이 포함된 식품으로는 등푸른 생선(고등어, 꽁치, 삼치, 참치 등)이 있습니다.불포화지방산이 많은 등푸른 생선은 갱년기에 증가하는 혈관질환 예방에도 도움이 됩니다.",생리불순,,,,,,,,,,
하루에도 몇번씩 오르락 내리락 갱년기 열감 때문에 갱년기 영양제를 먹으려고 하는데요~ 갱년기 영양제가 도움이 될까요?,"갱년기 열감 증상은 갱년기의 대표적인 증상 중 하나입니다. 갱년기 열감 증상을 완화하기 위해서는 갱년기 영양제를 복용하는 것이 도움이 될 수 있습니다. 갱년기 영양제는 여성의 건강을 지원하는 성분들로 구성되어 있습니다.
갱년기 영양제의 성분 중에서는 다음과 같은 것들이 있습니다.
1) 칼슘 영양제: 골다공증 예방에 도움이 됩니다.
2) 비타민 D 영양제: 뼈 건강에 도움이 됩니다.
3) 대두이소플라본: 호르몬 대체 요법과 유사한 효과가 있습니다.
4) 홍삼: 면역력 강화에 도움이 됩니다.
5) 백수오: 갱년기 증상 완화에 도움이 됩니다.
6) 석류: 항산화 작용이 있어 면역력 강화에 도움이 됩니다.
하지만, 갱년기 영양제를 복용하기 전에는 꼭 의사와 상담하시는 것이 좋습니다. 의사의 처방에 따라 적절한 갱년기 영양제를 복용하시는 것이 좋습니다.",갱년기영양제(백수오),,,,,,,,,,
갱년기 영양제 복용 방법은 어떻게 되나요?,"갱년기 영양제 복용 방법은 제품마다 다를 수 있습니다. 제품 병에 적힌 사용법을 참고하시면 됩니다.

일반적으로 갱년기 영양제는 하루 1회, 식사와 함께 복용하는 것이 좋습니다. 또한, 갱년기 영양제를 복용하기 전에는 꼭 의사와 상담하시는 것이 좋습니다. 의사의 처방에 따라 적절한 갱년기 영양제를 복용하시는 것이 좋습니다.",갱년기영양제(백수오),,,,,,,,,,
갱년기 영양제를 복용하면 부작용이 있을까요?,"갱년기 영양제를 복용하면 부작용이 있을 수 있습니다. 하지만, 대부분의 경우 부작용은 경미하며, 복용을 중단하면 사라집니다. 갱년기 영양제를 복용하기 전에는 꼭 의사와 상담하시는 것이 좋습니다. 의사의 처방에 따라 적절한 갱년기 영양제를 복용하시는 것이 좋습니다.",갱년기영양제(백수오),,,,,,,,,,
갱년기 영양제를 복용하면 어떤 효과가 있나요?,"갱년기 영양제를 복용하면 여성의 갱년기 증상을 완화하고 여성의 건강을 유지하는 데 도움을 줍니다. 갱년기 영양제는 여성의 건강을 위해 다양한 성분이 함유되어 있습니다. 이 성분들은 갱년기 증상을 완화하고 여성의 건강을 유지하는 데 도움을 줍니다. 갱년기 영양제를 복용하기 전에는 꼭 의사와 상담하시는 것이 좋습니다. 의사의 처방에 따라 적절한 갱년기 영양제를 복용하시는 것이 좋습니다. 갱년기 영양제 추천으로는 칼슘 영양제, 식이섬유, 비타민D 영양제, 홍삼, 백수오, 석류 등이 있습니다 .",갱년기영양제(백수오),,,,,,,,,,
백수오가 뭔가요?,"백수오는 박주가리과에 속하는 여러해살이풀로, 큰조롱이라고도 불립니다. 덩이뿌리로 원뿔모양이며 길이는 5~10cm, 지름 1.5~3cm라고 합니다. 백수오는 주로 산기슭이나 해안의 경사지에서 자란다고 합니다. 백수오는 백하수오라는 이름으로도 불리우며 이미 널리 알려져 있는 하수오와는 다른 식물입니다. 
백수오는 한국에서는 약용으로 사용되고 있으며, 음식으로 사용되는 경우는 드물다고 합니다.
또한, 백수오는 갱년기 증상 완화에 도움이 되는 약초로, 박주가리과 대근우피소의 덩이뿌리로 자양강장, 보혈의 효능을 가진 약재입니다. 백수오는 손발 저림, 불면, 피로감, 안면 홍조, 생식기 건조와 같은 갱년기로 인해 발생하는 증상의 완화에도 도움이 됩니다.",갱년기영양제(백수오),,,,,,,,,,
백수오를 어떻게 섭취하나요?,"백수오는 보통 차나 물에 우려서 섭취합니다. 또한, 백수오를 먹기 전에는 꼭 물에 불리고 먹어야 합니다. 물에 불리면 백수오의 효능이 더욱 높아지기 때문입니다. 하지만 백수오는 대량으로 섭취하면 위장장애, 구토, 설사, 두통, 현기증, 발열 등의 부작용이 발생할 수 있다고 합니다.",갱년기영양제(백수오),,,,,,,,,,
백수오의 효능은 무엇인가요?,"백수오는 각종 질병에 대한 치료나 예방을 위해 사용되어왔습니다. 백수오는 갱년기 증상 완화, 불면증, 소화불량, 신경통, 두통, 류마티스, 고혈압, 당뇨, 간염, 간경화, 간암, 폐암, 위암, 대장암, 유방암, 자궁암, 전립선암 등의 질병에 효과가 있다고 알려져 있습니다. 하지만 백수오는 대량으로 섭취하면 위장장애, 구토, 설사, 두통, 현기증, 발열 등의 부작용이 발생할 수 있다고 합니다.",갱년기영양제(백수오),,,,,,,,,,
백수오를 재료로한 영양제를 추천해주세요.,"갱년기 영양제로는 백수오골드가 있습니다. 백수오골드는 국내최초로 식약처 인정받은 여성 갱년기 기능성 원료로 만들어 안심할 수 있습니다. 또한 에스트로겐 수용체 활성이 없는 100% 식물성 원료를 사용하여 안전하게 복용할 수 있습니다. 백수오는 박주가리과 대근우피소의 덩이뿌리로 자양강장, 보혈의 효능을 가진 약재입니다. 또한 백수오는 손발 저림, 불면, 피로감, 안면 홍조, 생식기 건조와 같은 갱년기로 인해 발생하는 증상의 완화에도 도움이 됩니다. 하지만, 갱년기 영양제를 복용하기 전에는 꼭 의사와 상담하시는 것이 좋습니다.",갱년기영양제(백수오),,,,,,,,,,
백수오골드의 주성분은 무엇인가요?,"백수오골드의 주성분으로는 백수오/당귀/한속단 등 복합추출물과 옥수수전분, 결정셀룰로스, 히드록시프로필메틸셀룰로스, 이산화규소, 스테아린산마그네슘, 치자적색소, 글리세린지방산에스테르, 이산화티타늄, 캐모마일추출물분말, 로즈마잎추출물분말, 타트체리분말, 타우린, L-테아닌이 있습니다. 백수오골드는 식물성 에스트로겐을 풍부하게 함유하고 있어 갱년기 여성분들의 건강에 좋습니다. 이외에도 이산화규소, 스테아린산마그네슘 부형제가 들어있는데 알약의 일정한 형태를 만들거나 섭취 편의성을 위해 첨가하는 물질이라고 합니다. 대부분 안전하다고 알려져 있으나, 일부 연구 결과에서 부작용 가능성을 제시하고 있으니 임산부 등 취약자는 피하시는 게 좋습니다. 
백수오골드와 백수오 로얄이 있습니다.",갱년기영양제(백수오),,,,,,,,,,
백수오골드를 어떻게 복용해야 하나요?,"백수오골드는 하루에 1번, 2정을 복용하시는 것이 좋습니다. 중량으로 치면 약 1.8g입니다. 임산부와 수유부는 섭취를 피하시고, 항응고제, 항혈전제 등 복용 시 전문가와 상담이 필요합니다.
백수오골드는 갱년기에 도움을 주는 걸로 유명합니다. 에스트로겐 수용체와 결합하지 않으면서 우리 몸의 에스트로겐과 유사한 내용물이 들어있어서 뼈도 튼튼하게 해줍니다.
백수오골드 프리미엄 진은 하루에 1번, 2 캡슐을 충분한 물과 함께 섭취하시면 됩니다.
백수오 로얄은 1일 2회로 백수오골드보다 1회 더 섭취하며, 1회 섭취량은 2캡슐로 동일합니다.
백수오골드에는 이산화규소, 스테아린산마그네슘 부형제가 들어있는데 알약의 일정한 형태를 만들거나 섭취 편의성을 위해 첨가하는 물질이에요. 대부분 안전하다고 알려져 있으나, 일부 연구 결과에서 부작용 가능성을 제시하고 있으니 임산부 등 취약자는 피하시는 게 좋습니다.",갱년기영양제(백수오),,,,,,,,,,
"그럼, 백수오골드와 백수오 로얄의 차이점은 무엇인가요?","백수오골드와 백수오 로얄은 성분이 거의 동일하지만, 백수오 로얄은 하루 2회 섭취하며, 1회 섭취량은 2캡슐로 동일합니다. 반면 백수오골드는 하루 1회, 2정을 섭취하시면 됩니다.",갱년기영양제(백수오),,,,,,,,,,
백수오골드 가격은?,"유한양행 공식 스마트스토어 기준으로 백수오 골드 1통 60정 기준, 약 40,000원에서 구매가 가능합니다. 1통은 1개월분입니다.",갱년기영양제(백수오),,,,,,,,,,
백수오골드 리뷰는?,"백수오골드는 갱년기 여성분들의 건강에 좋은 식물성 에스트로겐을 풍부하게 함유하고 있어서 좋은 평가를 받고 있습니다. 백수오골드는 국내최초 식약처 인정 여성 갱년기 기능성 원료를 사용하여 안심할 수 있습니다. 백수오골드는 100% 식물성 원료를 사용하고 있으며, 에스트로겐 수용체 활성이 없는 원료를 사용하여 안전성이 인정되었습니다. 백수오골드는 안면홍조나, 불면증, 신경과민 등에 효과가 있다는 것을 인체시험결과에서 확인되었습니다. 하지만, 각 개인의 체질에 따라 부작용이 발생할 수 있으므로, 복용 전에 의사와 상담하시는 것이 좋습니다.",갱년기영양제(백수오),,,,,,,,,,
백수오골드와 비슷한 영양제 추천해 주세요.,"백수오골드와 비슷한 영양제로는 유한백수오 마스터, 유한백수오 블랙, 유한백수오 블루 등이 있습니다. 이 제품들은 각각 갱년기, 면역력, 눈 건강 등에 효과가 있습니다.",갱년기영양제(백수오),,,,,,,,,,
"3년전부터 갱년기가 시작되면서 배뇨곤란을 겪고 있습니다.
여행가기도 두렵고 무슨 방법이 없을까요?","방광기능이 약해지면서 배뇨가 제대로 이뤄지지 않게 되는 건데요.
보통 이럴때 케겔운동을 하시면 도움이 되실 수 있습니다. 
괄약근은 서로 이어져 있기 때문에 항문괄약근 뿐 아니라 요도괄약근까지 단련이 될 수 있습니다.",배뇨장애+요실금수술,,,,,,,,,,
"염증은 없는데 화장실가면 억지로 소변을 봐야하고, 시원한느낌은 안 들고 뭔가 막혀 있는 느낌과 좋아졌다 싶으면 또 몇개월 지나면 반복됩니다.","방광기능이 약해지면서 배뇨가 제대로 이뤄지지 않게 되는 건데요.
보통 이럴때 케겔운동을 하시면 도움이 되실 수 있습니다. 
괄약근은 서로 이어져 있기 때문에 항문괄약근 뿐 아니라 요도괄약근까지 단련이 될 수 있습니다.",배뇨장애+요실금수술,,,,,,,,,,
케겔운동 방법을 알려주세요.,"케겔운동은 골반저근의 운동 방법으로 항문에 5~10초 정도 힘을 준 뒤에 서서히 힘을 빼는 동작을 반복하는 것입니다. 이 동작을 반복할 경우 요도에서 항문 부위에 수축을 담당하는 치골미골근이 강화됩니다.
케겔운동을 하기 전에는 복부와 대퇴근을 펴고, 무릎을 굽히지 않고 서서 쉬운 자세를 취합니다. 그리고 항문을 수축하면서 5초간 유지한 뒤, 5초간 풀어주는 것을 10회 반복합니다.
케겔운동을 하는 것이 처음이라면, 일어나서 하는 것보다 누워서 하는 것이 더 쉬울 수 있습니다. 또한, 케겔운동을 하는 동안 복부나 대퇴근을 이용하여 동작을 보조할 수 있습니다.",배뇨장애+요실금수술,,,,,,,,,,
케겔운동을 얼마나 자주 해야 하나요?,"케겔운동은 하루에 3회, 10회씩 하는 것이 좋습니다. 하지만 케겔운동을 하는 것은 개인의 상황에 따라 다르기 때문에, 의사와 상담하여 적절한 운동량을 결정하는 것이 좋습니다.",배뇨장애+요실금수술,,,,,,,,,,
케겔운동이 갱년기 배뇨증상에 도움이 될까요?,"케겔운동은 골반근육을 강화하는데 효과적이며, 요실금과 성생활에도 도움이 된다고 알려져 있습니다. 갱년기 배뇨증에 대한 연구는 여성에서 더 많이 이루어졌으며, 케겔운동이 갱년기 배뇨증 증상을 개선시키는 데 도움이 된다는 연구 결과가 있습니다. 하지만, 케겔운동이 갱년기 배뇨증에 대한 완전한 치료법은 아니며, 전문의와 상담 후 적절한 치료 방법을 찾는 것이 좋습니다.",배뇨장애+요실금수술,,,,,,,,,,
"그렇다면, 갱년기 배뇨증 완전한 치료법은 무엇인가요?","갱년기 배뇨증은 여성의 갱년기에 따라 생기는 증상 중 하나입니다. 갱년기 배뇨증은 여성의 요로계 기능이 약해지면서 생기는 증상으로, 배뇨가 자주 일어나거나, 배뇨가 어려워지는 등의 증상이 나타납니다. 갱년기 배뇨증의 치료법은 다양한데, 대표적으로는 약물치료, 수술치료, 생활습관 개선 등이 있습니다. 하지만 완전한 치료법은 아직 없습니다. 최근 연구에서는 갱년기 배뇨증에 대한 치료법으로 미농축 크랜베리 추출물이 효과적이라는 결과가 나왔습니다. 하지만 이 연구는 아직 충분한 근거가 되지는 않습니다.",배뇨장애+요실금수술,,,,,,,,,,
